lat,vert,heading
-445.87,1357.2,242.415
-450.17,1364.4,243.659
-450.17,1364.4,243.659
-450.17,1371.6,244.904
-455.54,1384.8,247.386
-455.54,1384.8,247.386
-461.42,1398,249.874
-467.4,1405.2,251.126
-467.4,1412.4,252.39
-472.59,1420.8,253.669
-472.59,1420.8,253.669
-478.48,1435.2,256.226
-478.48,1441.2,257.511
-478.48,1441.2,257.511
-484.1,1448.4,258.797
-484.1,1455.6,260.086
-489.64,1470,262.687
-495.53,1477.2,264
-495.53,1485.6,265.32
-501.24,1492.8,266.647
-501.24,1492.8,266.647
-506.78,1508.4,269.323
-506.78,1515.6,270.661
-512.23,1522.8,272.006
-512.23,1530,273.348
-517.32,1538.4,274.687
-517.32,1545.6,276.027
-523.21,1554,277.371
-523.21,1554,277.371
-523.21,1561.2,278.71
-528.22,1568.4,280.045
-528.22,1575.6,281.38
-538.86,1590,284.016
-538.86,1590,284.016
-544.04,1605.6,286.647
-544.04,1605.6,286.647
-549.05,1620,289.275
-549.05,1627.2,290.59
-549.05,1627.2,290.59
-554.59,1634.4,291.893
-554.59,1641.6,293.189
-560.57,1648.8,294.479
-560.57,1656,295.775
-566.37,1663.2,297.074
-566.37,1670.4,298.361
-571.99,1684.8,300.949
-577.44,1692,302.244
-577.44,1698,303.547
-582.8,1705.2,304.857
-582.8,1712.4,306.169
-587.99,1720.8,307.479
-587.99,1728,308.792
-587.99,1728,308.792
-592.73,1735.2,310.099
-597.66,1748.4,312.694
-597.66,1748.4,312.694
-602.58,1762.8,315.271
-602.58,1762.8,315.271
-606.97,1778.4,317.853
-606.97,1784.4,319.137
-606.97,1784.4,319.137
-611.81,1791.6,320.426
-616.64,1806,322.988
-616.64,1806,322.988
-616.64,1813.2,324.274
-621.03,1827.6,326.835
-625.16,1834.8,328.118
-625.16,1842,329.4
-625.16,1842,329.4
-629.65,1856.4,331.972
-635.18,1863.6,333.243
-635.18,1863.6,333.243
-635.18,1870.8,334.517
-640.02,1881.6,337.095
-645.2,1890,338.399
-645.2,1897.2,339.712
-645.2,1897.2,339.712
-650.74,1911.6,342.308
-650.74,1911.6,342.308
-656.37,1917.6,343.6
-662.43,1932,346.169
-662.43,1939.2,347.457
-668.85,1947.6,348.744
-668.85,1947.6,348.744
-675.09,1960.8,351.323
-675.09,1969.2,352.631
-680.89,1975.2,353.952
-680.89,1983.6,355.28
-680.89,1983.6,355.28
-686.07,1998,357.937
-692.14,2005.2,359.257
-692.14,2012.4,0.574402
-692.14,2012.4,0.574402
-697.94,2026.8,3.18508
-697.94,2026.8,3.18508
-703.56,2041.2,5.781
-703.56,2041.2,5.781
-708.92,2054.4,8.37863
-714.02,2061.6,9.67702
-714.02,2061.6,9.67702
-718.94,2077.2,12.2882
-718.94,2077.2,12.2882
-723.34,2091.6,14.9118
-723.34,2091.6,14.9118
-723.34,2098.8,16.2339
-728.17,2113.2,20.1847
-733.36,2120.4,21.4908
-733.36,2120.4,21.4908
-739.07,2134.8,24.1113
-739.07,2142,25.4205
-739.07,2142,25.4205
-744.78,2149.2,26.7311
-744.78,2157.6,28.038
-751.11,2172,30.6232
-751.11,2172,30.6232
-757.7,2178,31.9171
-757.7,2185.2,33.2127
-764.03,2199.6,35.8253
-764.03,2199.6,35.8253
-769.92,2214,38.4114
-769.92,2214,38.4114
-775.11,2228.4,41.0039
-780.73,2235.6,42.3016
-780.73,2242.8,43.6056
-786.27,2250,44.9104
-786.27,2257.2,46.214
-786.27,2257.2,46.214
-791.19,2271.6,48.8143
-796.55,2278.8,50.1139
-796.55,2278.8,50.1139
-796.55,2286,51.4212
-802.18,2301.6,54.0245
-807.27,2308.8,55.3311
-807.27,2314.8,56.6317
-807.27,2314.8,56.6317
-812.81,2322,57.9323
-818.44,2336.4,60.5375
-818.44,2343.6,61.8407
-824.41,2350.8,63.1546
-824.41,2350.8,63.1546
-831.09,2365.2,65.7922
-831.09,2365.2,65.7922
-836.89,2379.6,68.428
-836.89,2379.6,68.428
-836.89,2386.8,69.7271
-843.66,2394,71.0264
-850.96,2407.2,73.6232
-850.96,2407.2,73.6232
-850.96,2414.4,74.9368
-857.64,2422.8,76.2559
-863.26,2437.2,78.9016
-863.26,2437.2,78.9016
-869.33,2451.6,81.5373
-869.33,2451.6,81.5373
-869.33,2458.8,82.8571
-875.48,2466,84.1829
-880.84,2480.4,86.8371
-880.84,2480.4,86.8371
-886.73,2494.8,89.4854
-886.73,2502,90.8053
-892.26,2509.2,92.1149
-892.26,2509.2,92.1149
-898.15,2523.6,94.7361
-898.15,2530.8,96.0438
-898.15,2530.8,96.0438
-903.95,2545.2,98.6543
-909.93,2552.4,99.9431
-909.93,2560.8,101.222
-909.93,2560.8,101.222
-916.79,2575.2,103.785
-922.94,2582.4,105.065
-922.94,2582.4,105.065
-929.09,2598,107.664
-929.09,2598,107.664
-935.07,2612.4,110.293
-935.07,2612.4,110.293
-941.4,2626.8,112.918
-941.4,2635.2,114.234
-941.4,2635.2,114.234
-947.55,2649.6,116.88
-953.17,2656.8,118.209
-953.17,2664,119.542
-959.06,2671.2,120.872
-959.06,2679.6,122.206
-964.51,2686.8,123.544
-964.51,2695.2,124.874
-969.61,2701.2,126.202
-969.61,2701.2,126.202
-969.61,2708.4,127.518
-975.23,2722.8,130.123
-975.23,2722.8,130.123
-981.03,2737.2,132.713
-981.03,2737.2,132.713
-985.78,2744.4,134.001
-991.23,2757.6,136.54
-991.23,2764.8,137.799
-996.85,2772,139.054
-996.85,2772,139.054
-996.85,2779.2,140.305
-1001.95,2792.4,142.825
-1007.23,2799.6,144.084
-1007.23,2799.6,144.084
-1013.2,2812.8,146.601
-1013.2,2812.8,146.601
-1013.2,2821.2,147.852
